ID,COUNTRY_ID,NAME,ADDRESS,POSTAL_CODE,CITY,PROVINCE,COUNTRY,EMAIL,WEBPAGE,BALLPARK_ID,PRESIDENT,SECRETARY,TREASURER,GOVERNANCE_PERSON,CLUB_LATITUDE,CLUB_LONGITUDE,STADIUM_LATITUDE,STADIUM_LONGITUDE
GRE,BE,Royal Greys,Alkstraat 57,2170,Merksem,Antwerpen,Belgium,royalgreys@telenet.be,http://www.royalgreys.be/,,Ronnie Driessens,Marina Dorny,Edith Wagemans,,51.260888946948,4.442005189744,51.2613221540603,4.4408990330689
HEI,BE,Heist o/d Afterburners,Kloosterveldstraat 7,2221,Booischot,Antwerpen,Belgium,info@afterburners.be,http://www.afterburners.be/,,Mario Verbruggen,Ellen Bruynseels,Anja Van Der Veken,,51.0441713443652,4.76616978770388,51.0447438281479,4.76703161865661
HOB,BE,Hoboken Pioneers,Schansstraat 1,2660,Hoboken,Antwerpen,Belgium,info@pioneers.be,http://www.pioneers.be/,,Tom Lorrentop,Jill Lorrentop,Patsy Michielsen,,51.1653674317865,4.35380599209706,51.1658025358897,4.35404812317572
JEM,BE,Jemeppe White Sharks,"Rue Saint-Martin, 21",5190,Jemeppe-sur-Sambre,Namur,Belgium,whitesharks.secretariat@gmail.com,https://www.facebook.com/whitesharksbb/,,,,,,50.4650292820698,4.65628053159982,50.4650292820698,4.65628053159982
LEU,BE,Leuven Twins,Tervuursevest 101,3001,Heverlee,Vlaams-Brabant,Belgium,info@leuventwins.be,,,Arno Aarts,Fiona Hermans,Stefan Verelst,,50.8671050658706,4.68889872091557,50.8671050658706,4.68889872091557
LIE,BE,Liège Rebels,"Voie Mélotte, 16B",4020,Liège,Liège,Belgium,secretariat@liegebaseball.be,https://www.liegebaseball.be/,,,,,,50.6334770220062,5.62154606115204,50.6332090714355,5.62106259298805
LIM,BE,Limburg White Sox,Herkenrodestraat 22,3600,Genk,Limburg,Belgium,info@whitesox.be,https://whitesox.be/,,Eric Crauwels,Sandra Leurs,Thijs Mangelschots,,50.953932436003,5.40592801962375,50.9539427534143,5.40701306200598
MAR,BE,Marche-en-Famenne Cracks,"Rue Victor Libert, 36",6900,Marche-en-Famenne,Luxembourg,Belgium,cenatair@marche.be,https://www.facebook.com/people/Les-Cracks/100057186112286/,,,,,,50.228386907181,5.33519537900615,50.228386907181,5.33519537900615
MER,BE,Merchtem Cats,J. Stallaertstraat 10,1785,Merchtem,Vlaams-Brabant,Belgium,info@merchtemcats.com,http://www.merchtemcats.com/,,Anton Siebelink,Veronique Vandermersche,Bart Saerens,,50.9560705918173,4.24385053023134,50.9560631146774,4.24440100406635
MON,BE,Mons Athletics,"Cité des Espinois, 1/Z",7020,Mons,Hainaut,Belgium,mons.baseball.softball@gmail.com,https://www.facebook.com/MonsAthleticsBaseballSoftball/about,,,,,,50.4863839932774,3.95809218594864,50.4863839932774,3.95809218594864
MOR,BE,Mortsel Stars,Gasthuishoeve 1,2640,Morstel,Antwerpen,Belgium,info@mortselstars.be,http://mortselstars.be/,,Damon Baesen,Els Hendrickx,,,51.1806388182114,4.47032934750069,51.1806388182114,4.47032934750069
CAN,BE,Cantincrode Stars,Gasthuishoeve 2,2640,Morstel,Antwerpen,Belgium,info@mortselstars.be,https://www.facebook.com/Kon.MortselStars/,,Damon Baesen,Els Hendrickx,,,51.1806388182114,4.47032934750069,51.1806388182114,4.47032934750069
MSG,BE,Mont-Saint-Guibert Phoenix,Avenue du Cerisier,1435,Mont-Saint-Guibert,Walloon Brabant,Belgium,info@msgphoenix.be,https://www.msgphoenix.be/,,,,,,50.64156151127,4.62189504641259,50.642423061001,4.62139871160309
NAM,BE,Namur Angels,"Rue de la 1ère Armée Américaine, 135",5100,Wépion,Namur,Belgium,info@namur-angels.be,http://www.namur-angels.be/,,,,,,50.4057976810898,4.8436201553293,50.4055458144099,4.84543603226492
OOS,BE,Oostende Piranhas,Sportparklaan 6,8400,Oostende,Oost-Vlaanderen,Belgium,info@piranhas.be,http://www.piranhas.be/,,Dirk Gunst,Marc Leniere,Sylvia Derycker,,51.2120553543816,2.91082035505582,51.1968289080324,2.92410499243431
OUD,BE,Oudernaarde Frogs,Rodelos 4,9700,Oudenaarde,Oost-Vlaanderen,Belgium,info@thefrogs.be,https://thefrogs.be/,,Jonas Hoebeke,Lisa Biasino,Céline De Roeck,,50.8512807451108,3.61520537244456,50.8526271992782,3.61943799244016
PEL,BE,Pelt Nstars,Wandeldreef,3910,Pelt,Limburg,Belgium,Info@nstars.be,https://www.nstars.be/,,Hans Ronkes,Koen Loyens,,,51.2338017873957,5.41567932656944,51.2338017873957,5.41567932656944
POP,BE,Poperinge Frontliners,Reningelstseweg 1-21,8970,Poperinge,West-Vlaanderen,Belgium,info@frontliners.be,https://www.frontliners.be/,,Geoffrey Andries,Maarten Kiebooms,Fabienne Lowier,,50.8439189528493,2.7369135900429,50.8439189528493,2.7369135900429
SER,BE,Seraing Brown Boys,"Clos des Roselières, 27",4101,Jemeppe-sur-Meuse,Liège,Belgium,info@brownboys.be,https://www.brownboys.be/,,,,,,50.6215901134689,5.47826966685748,50.6216346540695,5.47769771894837
TBS,BE,Olen Titans,Missestraat 12,2250,Olen,Antwerpen,Belgium,info@titans-bsc.be,https://www.titans-bsc.be/,,Ludo Van Tendeloo,Peter Allaerts,,,51.1552033671463,4.89076671167254,51.1553712404793,4.88995495839304
TON,BE,Tongeren Sharks,Rietmusweg 7,3700,Tongeren,Limburg,Belgium,info@sharks.be,https://baseball.be/,,Marc Swers,Hans Pleumeekers,,,50.7711649295542,5.46755985033286,50.771249435981,5.46805114524735
TOU,BE,Tournai Celtics,"Avenue De Gaule, 2",7500,Tournai,Hainaut,Belgium,info@tournaiceltics.be,https://tournaiceltics.be/,,,,,,50.6036244086999,3.37952736943998,50.6036244086999,3.37952736943998
TZH,BE,Terneuzen Zeeuwse Honk,Vliegende Vaart 11,4537DH,Terneuzen,Zeeland,Netherlands,info@zeeuwsehonk.nl,http://www.zeeuwsehonk.nl/,,,,,,51.3151462277555,3.84250425260028,51.3141030192216,3.84250626991699
WBA,BE,WBA Foxes,Modernadreef,9100,Sint-Niklaas,Oost-Vlaanderen,Belgium,info@wbafoxes.be,https://wbafoxes.be/,,Marcel Vanlooy,Mathias Bruggeman,Michael Van Hove,,51.1693858570573,4.12517978128262,51.170549115972,4.12427435834183
WIE,BE,Wielsbeke Pitbulls,Loverstraat 108,8710,Wielsbeke,West-Vlaanderen,Belgium,eric.secember@gmail.com,http://www.pitbulls.be/,,Tijs Van Canneyt,Eric Secember,,,50.9161300214537,3.40116693745083,50.9173160195475,3.40084141676666
ZON,BE,Zonhoven Tigers,Kleebergweg 27,3520,Zonhoven,Limburg,Belgium,info@sunville-tigers.be,http://sunville-tigers.be/,,Patrick Kuenen,Dirk Hendriks,Koen Stalmans,,50.983600462189,5.38441248819181,50.9835511022205,5.3870695806932
ZOT,BE,Zottegem Bebops,Zwembadstraat,9620,Zottegem,Oost-Vlaanderen,Belgium,bestuur@bebops.be,http://www.bebops.be/,,Johan De Zutter,Filip Callebaut,Frederik Plasschaert,,50.8682950844867,3.82520273246943,50.868683809626,3.82541982312164
ANT,ES,Antorcha Valencia,C/ del Pla de la Saïdia 3 La Saïdia,46009,Valencia,Comunidad Valenciana,Spain,cbs.antorcha@hotmail.com,https://cbsantorcha.com/,,Gilberto Sánchez,Javier Sánchez,Noelia Flores,Pedro Mariano Aineto García,39.4824041172014,-0.378722936818202,39.4824594945539,-0.378456057047963
AST,ES,Astros Valencia,C/ del Pla de la Saïdia 3 La Saïdia,46009,Valencia,Comunidad Valenciana,Spain,astros.campo@gmail.com,http://astrosbeisbolvalencia.com/,,Juan García,Mónica Ituarte Climent,María Francisca Collado López,Raúl Rosell,39.4823585731774,-0.378949583457249,39.4824594945539,-0.378456057047963
BCN,ES,Barcelona,Carrer Pierre de Coubertin 9 Sants-Montjuïc,8038,Barcelona,Cataluña,Spain,admin@beisbolbarcelona.com,http://www.bateando.com/,,Josep Juaneda Barber,Fernando Rogelio Guillen Llorente,Manuel Cuevas Saura,José María Román Senante,41.3638915139699,2.14907155375457,41.3634023611578,2.14904296885142
INA,ES,San Inazio,POLIDEPORTIVO EL FANGO – REKALDE Carretera Larraskitu s/n,48012,Bilbao,Vizcaya,Spain,saninazio-beisbol@telefonica.net,https://saninaziobeisbol.net/,,Fernando San Andres,Jose Puga,Oscar Garcia,Aitor Bilbao,43.2462752859329,-2.93888743120066,43.2462752859329,-2.93888743120066
IRA,ES,Irabia,Calle Cintruénigo s/n,31015,Pamplona,Navarra,Spain,,https://www.irabiabeisbol.es/,,Juan Pastor,Alberto Avia Urricelqui,Fidel Calvo,Cristina Ormazábal Goicoechea,42.8273715977131,-1.62505773275751,42.8273715977131,-1.62505773275751
MAR,ES,Tenerife Marlins,Camino Burgado s/n,38400,Puerto de la Cruz,Canarias,Spain,,http://marlinspuertocruz.es/,,Aurelio Da Silva,María Elena Salazar Martínez,Alain Ramírez Tornés,Néstor Pérez Suárez,28.4059532242403,-16.5691013387813,28.4061115044193,-16.5687738495669
MIR,ES,Miralbueno,Paseo Lagos de Alba s/n,50011,Zaragoza,Aragón,Spain,cbmiralbueno@gmail.com,http://www.beisbolmiralbueno.es/,,José Arroyo Calvo,María Ángeles Álvarez Ferrandez,Jonathan Castán,Eduardo Lahuerta,41.6597771752298,-0.936153338228324,41.6597771752298,-0.936153338228324
NAV,ES,C.D. Arga Navarra,Plaza Benitorena 1 - 3 A,31600,Burlada,Navarra,Spain,info@cdarga.com,https://www.cdarga.com/,,Ricardo Cordoba,Meritxell Muñio,,Txemi Lacalle,42.8213477404488,-1.618247485512,42.8213477404488,-1.618247485512
SBO,ES,Sant Boi,Avinguda d’Aragó 27,8830,Sant Boi de Llobregat,Cataluña,Spain,oficina@beisbolsantboi.com,http://www.beisbolsantboi.com/,,Francisco Izquierdo,Francisco Izquierdo,Carles Cerda,Antonio Burgos Moreno,41.3353868780959,2.03059534159556,41.3351882642372,2.02999703964391
TOR,ES,Toros,C. Rodrigo Ximénez de Rada Carr. de Artica,31014,Pamplona,Navarra,Spain,toros@cbstoros.com,https://www.cbstoros.com/,,Víctor Martínez,Iñaki Alfonso Esquiroz,,Alberto Español,42.831563816288,-1.65158361257458,42.831563816288,-1.65158361257458
VIL,ES,Viladecans,Carrer de Marià Sanjuan Cuchí 14,8840,Viladecans,Cataluña,Spain,cbvila@beisbolviladecans.com,,,Joan Rodríguez Ayma,David Garcia Fernandez,Encarnación Robles,David Garcia Fernandez,41.3244847532257,2.01686964768792,41.3248673295889,2.01716453667618
BMB,GB,Bournemouth Bears,Cherry Grove,BH22 9EZ,Ferndown,Dorset,United Kingdom,wessexbears@hotmail.com,https://www.bournemouthbaseball.co.uk/,,José López,Juan Miguel Ortega,Ben Hyde,Grant Rowe,50.8053856859908,-1.90374048822339,50.8043806760102,-1.90460273845145
EXA,GB,Essex Arrows,"Townmead Leisure Park, Brooker Rd ",EN9 1JH,Waltham Abbey,Essex,United Kingdom,,https://www.essexbaseball.com/,,Vince Warner,Sean Briscomb,Brad Neal,Dave Shaer,51.7500516943603,0.447393022692378,51.6815172647902,-0.00932057377804644
LDC,GB,London Capitals,Finsbury Park,N4 1EE,London,Greater London,United Kingdom,,,,,,,,51.6538486124141,-0.0649196698234384,51.5747856424006,-0.0995587461996848
LDM,GB,London Mets,Finsbury Park,N4 1EE,London,Greater London,United Kingdom,,https://www.londonmets.org/,,Greg Guillette,Russell Eassom,Paul Strang,Gabriyas Martens,51.6538486124141,-0.0649196698234384,51.5747856424006,-0.0995587461996848
SHB,GB,Sheffield Bruins,"Thorpe Green Park, Waterthorpe",S20 7HH,Sheffield,South Yorkshire,United Kingdom,manager.sheffieldbruins@gmail.com,https://www.sheffieldbruinsbaseball.com/,,,,,,53.3373526573681,-1.35563279516154,53.3373526573681,-1.35563279516154
VET,GB,Bristol Vetra,"Wedmore Rd, Saltford",BS31 3BY,Bristol,Bristol,United Kingdom,,https://hertsbaseball.com/teams/bc-vetra/,,Sean Bennett,Matt Bell,Rob Jones,Greg Bochan,51.406024631749,-2.46295741586204,51.7764700173652,-0.457148619094614
ACA,IT,Academy of Nettuno BC ASD,VIA LOMBARDIA 93/B,48,Nettuno,Lazio,Italy,academynettunobc@legalmail.it,http://www.baseballacademynettuno.it/,,Roberto De Franceschi,Alvaro Seccafieno,Jordan Messina,Cristian Mandolini,41.4615679228767,12.6674538513775,41.4688093611212,12.6793022251656
ATL,IT,Bologna Athletics ASD,Via Luigi Pirandello 6,40127,Bologna,Emilia Romagna,Italy,athleticsbologna@pec.net,https://athleticsbaseball.it/,,Massimo Meo,Alessandro Giannotti,Danilo Minarini,Sergio Ghedini,44.5114608241436,11.3907733622097,44.5103908891495,11.3910171015163
BBC,IT,BBC Grosetto ASD,VIA DEI BARBERI 108 PAL. 6 SC. A,58100,Grosseto,Toscana,Italy,segreteria@jrgrosseto.it,https://bbcgrosseto.com/,,Giuseppe Demi,Sandro Chimenti,Alessandro Macchelli,Luca Moretti,42.7539286387032,11.1033884807137,42.7538223256593,11.1041501814358
JRG,IT,BBC Grosetto ASD,VIA DEI BARBERI 108 PAL. 6 SC. A,58100,Grosseto,Toscana,Italy,segreteria@jrgrosseto.it,https://bbcgrosseto.com/,,Giuseppe Demi,Sandro Chimenti,Alessandro Macchelli,Luca Moretti,42.7539286387032,11.1033884807137,42.7538223256593,11.1041501814358
BOL,IT,Fortitudo Bologna SSD,P.ZALE ATLETI AZZURRI D'ITALIA 11,40141,Bologna,Emilia Romagna,Italy,info@fortitudobaseball.com,https://www.fortitudobaseball.it/,,Pierluigi Bissa,Marco Macchiavelli,Luciano Folletti,Umberto Tarozzi,44.4638027687566,11.3812094265341,44.4625116284514,11.3809792344766
BOZ,IT,Bolzano Baseball Club ASD,VIA DELLA VISITAZIONE 60/1,39100,Bolzano,Trentino Alto Adige,Italy,info@baseball-bolzano.it,https://www.baseball-bolzano.it/,,Sonia Varolo,Mauro Belliero,Luigi Divina,Pietro Sommadossi,46.4912158258753,11.3285346336262,46.5065226152861,11.3480353055702
BRE,IT,Brescia Baseball,VIA CORSICA 215,25125,Brescia,Lombardia,Italy,info@bresciabaseball.it,https://www.bresciabaseball.it/,,Antonio Manfredini,Stefano Sbardolini,Angelo Scaglia,Paola Abrami,45.5293779323951,10.2013222009891,45.5115219797258,10.2383351898558
CAG,IT,Cagliari Baseball Club ASD,VIA SCANO 11,9129,Cagliari,Sardegna,Italy,cagliaribaseball@tiscali.it,https://it-it.facebook.com/groups/307277127807/about,,Aldo Pisano,Walter Angioi,Eleonora Gessa,Davide Murgia,39.2134434680706,9.13048279121238,39.2096070520403,9.16588506985095
CAN,IT,Catalana Bas. Soft. ASD,Via Emilia,7041,Alghero,Sassari,Italy,catalanalghero@gmail.com,https://www.facebook.com/catalanabaseballesoftball/,,,,,,40.5825387763994,8.31512931757352,40.5825387763994,8.31512931757352
CAS,IT,Castenaso B.C. ASD,Via XXI Ottobre 1944 8,,Castenaso,Emilia Romagna,Italy,bccastenaso@gmail.com,https://www.castenasobaseball.it/,,Dott. Andrea Ponfiglioli,Lino Morroia,Paolo Bentivogli,Marco Braina,44.5122379288229,11.4702140589669,44.5128040808785,11.4697983165814
CER,IT,Cervignano Baseball ASD,VIA C. COLOMBO 26,33052,Cervignano Del Friuli,Friuli Venezia Giulia,Italy,cervignano.baseball@libero.it,https://www.cervignanobaseball.it/,,Tito Ricciarelli,Giuseppe Vargiu,Luca Ricciarelli,Ivano Sassi,45.821701859204,13.3423920456203,45.8203201286606,13.3493904636208
COD,IT,Codogno BAS. ‘67 ASD,VIALE DELLA RESISTENZA 10,26845,Lodi,Lombardia,Italy,info@baseballcodogno.it,https://www.baseballcodogno.it/,,Giangiacomo Sello,Giancarlo Contini,Pietro Barattini,Ezio Orsi,45.1678277543038,9.69878962766331,45.1676945985939,9.69837489440635
COL,IT,Collecchio BC ASD,VIA MONTESSORI 5/A,43044,Collecchio,Emilia Romagna,Italy,posta@collecchio-bs.it,https://www.collecchio-bs.it/,,Giorgio Acerbi,Silvia Dondi,Fabrizio Boschi,Evaristo Dallaturca,44.7500950031215,10.2061949788661,44.7494320565477,10.2051237615208
CRO,IT,Crocetta Baseball Club ASD,VIA MADONNA DELL'AIUTO N. 5/A,43126,Parma,Emilia Romagna,Italy,info@crocettabaseball.com,https://www.crocettabaseball.com/,,Ivan Ferrarini,Jacopo Zinelli,Cristiano Ronchini,Marco Bigliardi,44.8104955028889,10.2746999731968,44.8106218838762,10.2740125275145
DRA,IT,Thunders & Dragons Castelfranco,"Via Malvolta, 57",31033,Castelfranco,Veneto,Italy,thundersdragons.castellana@gmail.com,https://www.facebook.com/thundersdragons/,,,,,,45.6638193527566,11.9453389510521,45.6642895182277,11.9453513206542
FIO,IT,Fiorentina Baseball SSD ARL,"VIALE MANFREDO FANTI, 18",50137,Firenze,Toscana,Italy,info@fiorentinabaseball.it,https://www.fiorentinabaseball.it/#/,,Stefano Canali,Andrea Biffoli,Andrea Osella,Greta Forni,43.7793076687494,11.2861706468266,43.7793769271978,11.2867100764549
GOD,IT,Godo ASD BSC,VIALE BARACCA 17,48026,Russi,Emilia Romagna,Italy,asdbaseballgodo@gmail.com,https://www.baseball-godo.com/,,Carlo Naldoni,Alessandra Soprani,Nevio Kristancic,Pierluigi Meriggi,44.3832578958784,12.0682777430863,44.3833520074515,12.0688315690997
GRO,IT,Grosetto 1952 SSD ARL BSC,VIALE OMBRONE 44,58100,Grosseto,Toscana,Italy,bscgrosseto1952@mtlpec.eu,https://www.bscgrosseto.it/,,Massimo Ceciarini,Roberto Piccioli,Antonio Pugliese,Niccolò Cinelli,42.7616730706523,11.0957318458614,42.7608176719964,11.0898336085149
LAN,IT,Lancers BC ASD,"via Livornese ,s.n.c. C.P. n2",50055,Lastra A Signa,Toscana,Italy,lancersbc@pec.it,https://lancersbaseballclub.com/,,Paolo Moretti,Gabriele Nerbini,Stefania Lucherini,Alessio Beconcini,43.7812284218671,11.0736404130003,43.7815308736246,11.0730796952293
LIN,IT,Lion’s Baseball Nettuno ASD,VIA CUPA DEI MARMI,48,Nettuno,Lazio,Italy,lionsnettuno@gmail.com,https://www.facebook.com/lionsbaseballnettuno/,,Alfonso Gualtieri,Roberta Lo Fazio,Moira D'andrea,Daniele Frezza,41.4570554249818,12.6372396981403,41.4688093611212,12.6793022251656
LON,IT,Longbridge 2000 Bologna ASD,VIA G. BOTTONELLI 70,40132,Bologna,Emilia Romagna,Italy,settoregiovanile@fortitudobaseball.com,https://www.facebook.com/Longbridge/,,Roberto Franceschini,Simonetta Zoni,Monica Farinelli,Fiorella Pesci,44.5023522724847,11.2825887483069,44.5023522724847,11.2825887483069
MAC,IT,Macerata Angels ASD,VIA GINO VALENTINI snc,62100,Macerata,Marche,Italy,info@macerataangels.it,https://www.facebook.com/macerataangels/about,,Andrea Graziani,Giampaolo Giustozzi,Cristiano Meschini,Leonardo Splendiani,43.2991340024297,13.4418796269987,43.2991340024297,13.4418796269987
MIL,IT,Milano Baseball 1946 ASD,"Piazza G.Grandi,22",20135,Milano,Lombardia,Italy,segreteria@milanobaseball.it,https://www.milanobaseball.it/,,Alessandro Selmi,Tiziana Rombi,Enrico Rocchinotti,Stefano Lusian,45.461822406617,9.22132179870055,45.4660729359154,9.11015449643853
MOD,IT,Modena BC SOC COOP SSD,VIA MINUTARA 24,41122,Modena,Emilia Romagna,Italy,modenabc@libero.it,https://www.modenabaseball.it/,,Claudio Campioli,Ofelia Vitale,Loredana Auletta,Giancarlo Fabbri,44.6419538037438,10.9501745409247,44.6419538037438,10.9501745409247
