"CLUB_ID","COUNTRY_ID","CREBY","CRE","LUBY","LU"
"GRO","IT","C##BASEBALL",15/06/2024,"",
"HB","AT","C##BASEBALL",15/06/2024,"",
"HCA","NL","C##BASEBALL",15/06/2024,"",
"HEI","BE","C##BASEBALL",15/06/2024,"",
"HOB","BE","C##BASEBALL",15/06/2024,"",
"HTF","GB","C##BASEBALL",15/06/2024,"",
"IN","AT","C##BASEBALL",15/06/2024,"",
"INA","ES","C##BASEBALL",15/06/2024,"",
"IRA","ES","C##BASEBALL",15/06/2024,"",
"JEM","BE","C##BASEBALL",15/06/2024,"",
"JRG","IT","C##BASEBALL",15/06/2024,"",
"LAN","IT","C##BASEBALL",15/06/2024,"",
"LBC","GB","C##BASEBALL",15/06/2024,"",
"LDC","GB","C##BASEBALL",15/06/2024,"",
"LDM","GB","C##BASEBALL",15/06/2024,"",
"LEU","BE","C##BASEBALL",15/06/2024,"",
"LIE","BE","C##BASEBALL",15/06/2024,"",
"LIM","BE","C##BASEBALL",15/06/2024,"",
"LIN","IT","C##BASEBALL",15/06/2024,"",
"LLC","GB","C##BASEBALL",15/06/2024,"",
"LON","IT","C##BASEBALL",15/06/2024,"",
"MAC","IT","C##BASEBALL",15/06/2024,"",
"MAR","BE","C##BASEBALL",15/06/2024,"",
"MAR","ES","C##BASEBALL",15/06/2024,"",
"MER","BE","C##BASEBALL",15/06/2024,"",
"MIL","IT","C##BASEBALL",15/06/2024,"",
"MIR","ES","C##BASEBALL",15/06/2024,"",
"MOD","IT","C##BASEBALL",15/06/2024,"",
"MON","BE","C##BASEBALL",15/06/2024,"",
"MON","IT","C##BASEBALL",15/06/2024,"",
"MOR","BE","C##BASEBALL",15/06/2024,"",
"MS","AT","C##BASEBALL",15/06/2024,"",
"MSG","BE","C##BASEBALL",15/06/2024,"",
"NAM","BE","C##BASEBALL",15/06/2024,"",
"NAV","ES","C##BASEBALL",15/06/2024,"",
"NE2","IT","C##BASEBALL",15/06/2024,"",
"NEP","NL","C##BASEBALL",15/06/2024,"",
"NET","IT","C##BASEBALL",15/06/2024,"",
"OBB","ES","C##BASEBALL",15/06/2024,"",
"OGZ","NL","C##BASEBALL",15/06/2024,"",
"OLT","IT","C##BASEBALL",15/06/2024,"",
"OLY","NL","C##BASEBALL",15/06/2024,"",
"OOS","BE","C##BASEBALL",15/06/2024,"",
"OUD","BE","C##BASEBALL",15/06/2024,"",
"PAD","IT","C##BASEBALL",15/06/2024,"",
"PAR","IT","C##BASEBALL",15/06/2024,"",
"PAU","IT","C##BASEBALL",15/06/2024,"",
"PEL","BE","C##BASEBALL",15/06/2024,"",
"PIO","NL","C##BASEBALL",15/06/2024,"",
"POP","BE","C##BASEBALL",15/06/2024,"",
"POV","IT","C##BASEBALL",15/06/2024,"",
"QUI","NL","C##BASEBALL",15/06/2024,"",
"RCH","NL","C##BASEBALL",15/06/2024,"",
"RED","IT","C##BASEBALL",15/06/2024,"",
"REG","IT","C##BASEBALL",15/06/2024,"",
"RES","IT","C##BASEBALL",15/06/2024,"",
"RFA","IT","C##BASEBALL",15/06/2024,"",
"RIM","IT","C##BASEBALL",15/06/2024,"",
"RIV","ES","C##BASEBALL",15/06/2024,"",
"ROE","NL","C##BASEBALL",15/06/2024,"",
"RON","IT","C##BASEBALL",15/06/2024,"",
"ROV","IT","C##BASEBALL",15/06/2024,"",
"RSM","IT","C##BASEBALL",15/06/2024,"",
"SAL","IT","C##BASEBALL",15/06/2024,"",
"SBO","ES","C##BASEBALL",15/06/2024,"",
"SEN","IT","C##BASEBALL",15/06/2024,"",
"SER","BE","C##BASEBALL",15/06/2024,"",
"SET","IT","C##BASEBALL",15/06/2024,"",
"SHB","GB","C##BASEBALL",15/06/2024,"",
"SPA","NL","C##BASEBALL",15/06/2024,"",
"STA","BE","C##BASEBALL",15/06/2024,"",
"STO","NL","C##BASEBALL",15/06/2024,"",
"TBS","BE","C##BASEBALL",15/06/2024,"",
"TON","BE","C##BASEBALL",15/06/2024,"",
"TOR","ES","C##BASEBALL",15/06/2024,"",
"TOR","IT","C##BASEBALL",15/06/2024,"",
"TOU","BE","C##BASEBALL",15/06/2024,"",
"TTT","NL","C##BASEBALL",15/06/2024,"",
"TWI","NL","C##BASEBALL",15/06/2024,"",
"TZH","BE","C##BASEBALL",15/06/2024,"",
"UVV","NL","C##BASEBALL",15/06/2024,"",
"VER","IT","C##BASEBALL",15/06/2024,"",
"VET","GB","C##BASEBALL",15/06/2024,"",
"VIL","ES","C##BASEBALL",15/06/2024,"",
"VM","AT","C##BASEBALL",15/06/2024,"",
"VW","AT","C##BASEBALL",15/06/2024,"",
"WBA","BE","C##BASEBALL",15/06/2024,"",
"WIE","BE","C##BASEBALL",15/06/2024,"",
"ZON","BE","C##BASEBALL",15/06/2024,"",
"ZOT","BE","C##BASEBALL",15/06/2024,"",
